"CPUName","CPUPrice","CPUScore"
"AMD Ryzen Embedded R1505G",NA,3810
"Qualcomm SM6225",NA,3801
"Samsung Exynos 9825",NA,3799
"Intel Core i5-6287U @ 3.10GHz",304,3799
"Intel Core i5-2380P @ 3.10GHz",82.83,3797
"AMD Athlon X4 845",35.44,3796
"Intel Core i7-7560U @ 2.40GHz",NA,3792
"Intel Core i3-8145U @ 2.10GHz",281,3790
"Intel Xeon E5630 @ 2.53GHz",154,3790
"AMD Ryzen 3 3200U",NA,3790
"MT6833",NA,3784
"Intel Xeon E5640 @ 2.67GHz",69.1,3782
"Virtual @ 2.56GHz",NA,3778
"AMD Phenom II X6 1090T",53.89,3770
"ARM Cortex-A57 8 Core 1766 MHz",NA,3766
"QTI SM7150",NA,3764
"Intel Core i3-7100T @ 3.40GHz",99,3760
"QTI QCS5430",NA,3760
"Samsung Exynos 9810",NA,3756
"Intel Pentium G4620 @ 3.70GHz",139.9,3754
"AMD PRO A10-8850B",NA,3752
"Intel Pentium Gold G5420 @ 3.80GHz",79.9,3747
"Mediatek MT6781V/CD",NA,3746
"Qualcomm SM7125",NA,3744
"Intel Core i5-7287U @ 3.30GHz",NA,3743
"Intel Core i7-2670QM @ 2.20GHz",78.02,3741
"Intel Pentium Gold G5400 @ 3.70GHz",82.88,3735
"Intel Xeon E5-1607 @ 3.00GHz",11.53,3731
"AMD Opteron 3280",72.02,3723
"Intel Core i5-3335S @ 2.70GHz",NA,3717
"Snapdragon 7c @ 1.96 GHz",NA,3712
"Intel Xeon L5638 @ 2.00GHz",69.9,3707
"AMD PRO A12-9800",169,3705
"QTI SM4350",NA,3705
"Intel Core i7-7600U @ 2.80GHz",NA,3704
"Intel Pentium Gold G6505T @ 3.60GHz",90,3698
"AMD Opteron 6174",742.52,3697
"ZHAOXIN KaiXian KX-U6780@2.7GHz",NA,3693
"AMD Athlon PRO 200GE",NA,3693
"AMD Ryzen 3 2200U",NA,3688
"AMD FX-6100 Six-Core",44.04,3687
"Intel Core i5-2320 @ 3.00GHz",26.11,3675
"Intel Core i7-6567U @ 3.30GHz",NA,3673
"AMD Athlon X4 880K",94.61,3659
"Intel Core i5-2310 @ 2.90GHz",47.59,3659
"Intel Core i5-7300U @ 2.60GHz",627,3654
"MediaTek MT6785V/CD",NA,3654
"AMD PRO A10-9700",169,3652
"Intel Core i5-4460T @ 1.90GHz",NA,3652
"Intel Core i3-6100T @ 3.20GHz",42.99,3651
"MediaTek Kompanio 520/528 (MT8186/MT8186T)",NA,3650
"ZHAOXIN KaiXian KX-U6780A@2.7GHz",NA,3649
"Intel Core i3-4360 @ 3.70GHz",68,3647
"Intel Core i7-7500U @ 2.70GHz",539,3645
"MT6833V/NZA",NA,3641
"Intel Core i5-7267U @ 3.10GHz",NA,3627
"DG1301SML87HY",NA,3624
"Mediatek MT6833P",NA,3622
"Mediatek MT6785",NA,3618
"MT6853V/TNZA",NA,3616
"Intel Pentium G4600 @ 3.60GHz",89.9,3611
"AMD A12-9800",95,3611
"Intel Xeon W3580 @ 3.33GHz",214.5,3609
"Intel Core i7-6660U @ 2.40GHz",415,3606
"Intel Pentium Gold G5600T @ 3.30GHz",NA,3601
"AMD Athlon X4 950",29.26,3596
"Intel Xeon E5620 @ 2.40GHz",30,3590
"Intel Core i3-4170 @ 3.70GHz",41.6,3582
"Intel Core i7-6650U @ 2.20GHz",NA,3582
"Mediatek MT6833V/NZA",NA,3578
"Qualcomm SM4350",NA,3575
"AMD PRO A10-8770",NA,3574
"AMD Opteron 6176 SE",249.89,3564
"Intel Core i7-2630QM @ 2.00GHz",189.95,3558
"MT6785",NA,3555
"Intel Core i3-1000NG4 @ 1.10GHz",NA,3554
"Intel Core i3-4350 @ 3.60GHz",112.1,3548
"Intel Core i3-8130U @ 2.20GHz",281,3548
"AMD A10-9700",29.99,3546
"Intel Pentium Gold G6400T @ 3.40GHz",64,3545
"AMD A8-7680",36.73,3544
"Intel Core i3-4330 @ 3.50GHz",92.61,3544
"Intel Pentium G4560 @ 3.50GHz",68.57,3538
"AMD A10-7890K",136.17,3533
"QTI SM6225",NA,3526
"Snapdragon 835 @ 2.45 GHz",NA,3524
"Qualcomm Technologies, Inc SDMMAGPIEP",NA,3523
"Qualcomm MSM8998",NA,3520
"Intel Core i3-4160 @ 3.60GHz",46.9,3519
"Intel Xeon E5-2418L @ 2.00GHz",NA,3518
"AMD Ryzen Embedded V1202B",NA,3512
"MT6853V/ZA",NA,3505
"Intel Xeon E5-2407 v2 @ 2.40GHz",40.49,3504
"Intel Core i7-975 @ 3.33GHz",458.1,3493
"AMD Opteron 4365 EE",NA,3485
"AMD Opteron 6164 HE",NA,3478
"Qualcomm Technologies, Inc ATOLL-AB",NA,3475
"AMD A12-9800E",670.15,3471
"Intel Xeon E5-1603 @ 2.80GHz",33.89,3463
"Intel Core i3-4340 @ 3.60GHz",180,3460
"AMD A10 PRO-7850B APU",148.02,3459
"Qualcomm Technologies, Inc SM7250",NA,3459
"AMD A10-7870K",517.2,3458
"Intel Core i7-6498DU @ 2.50GHz",NA,3454
"Intel Xeon X5698 @ 4.40GHz",NA,3447
"Snapdragon 845 @ 2.8 GHz",NA,3446
"AMD Opteron X3421 APU",NA,3440
"AMD A10-8850",NA,3438
"Intel Core i5-2300 @ 2.80GHz",21.99,3436
"AMD Athlon X4 860K",69.97,3434
"AMD Phenom II X6 1075T",65.04,3431
"Intel Core i3-7100H @ 3.00GHz",225,3430
"Intel Core i7-6600U @ 2.60GHz",NA,3430
"AMD Embedded R-Series RX-418GD Radeon R6",NA,3426
"MediaTek MT6853T",NA,3425
"Qualcomm Technologies, Inc SDM765G 5G",NA,3425
"Qualcomm Technologies, Inc LAGOON",NA,3425
"Intel Core i7-965 @ 3.20GHz",39.99,3424
"AMD A8-7500",NA,3422
"Mediatek MT6779",NA,3422
"MediaTek MT6785V/CC",NA,3412
"AMD Athlon X4 870K",34.2,3410
"Intel Pentium Gold G5420T @ 3.20GHz",64,3408
"Intel Core i7-2635QM @ 2.00GHz",NA,3406
"Qualcomm Technologies, Inc KHAJE",NA,3405
"Intel Pentium Silver N5020 @ 1.10GHz",NA,3404
"AMD Opteron 4226",94.96,3400
"Snapdragon 7c @ 2.40 GHz",NA,3395
"Intel Core i3-4150 @ 3.50GHz",29.99,3394
"AMD A10-7850K APU",69.99,3393
"Intel Xeon E5-4603 @ 2.00GHz",132.19,3391
"Qualcomm Technologies, Inc SM7225",NA,3390
"AMD Phenom II X6 1065T",66.37,3387
"Intel Core i5-L16G7 @ 1.40GHz",281,3386
"Qualcomm Technologies, Inc SDM730G AIE",NA,3384
"Intel Core i5-7200U @ 2.50GHz",499,3383
"Intel Core i5-2500S @ 2.70GHz",55.34,3382
"AMD Opteron 6136",349,3381
"Intel Core i5-4340M @ 2.90GHz",NA,3376
"Qualcomm Technologies, Inc SM7125",NA,3373
"Intel Xeon E5-2609 v2 @ 2.50GHz",76.58,3369
"AMD FX-B4150 Quad-Core",89.68,3369
"Intel Xeon W5580 @ 3.20GHz",579.45,3368
"Intel Core i3-7167U @ 2.80GHz",NA,3368
"Qualcomm Technologies, Inc SDM845",NA,3368
"Mediatek MT8788",NA,3367
"Intel Xeon W3565 @ 3.20GHz",59.95,3366
"AMD Athlon X4 850",NA,3366
"AMD Ryzen Embedded R1600",NA,3365
"Intel Core i3-4370T @ 3.30GHz",138,3361
"Intel Core i7-960 @ 3.20GHz",49,3347
"Qualcomm Technologies, Inc LITO",NA,3344
"Intel Xeon Platinum 8575C",NA,3342
"Intel Xeon W5590 @ 3.33GHz",1406.34,3342
"Intel Pentium Gold G6405T @ 3.50GHz",64,3341
"Intel Core i5-6267U @ 2.90GHz",NA,3340
"AMD Phenom II X6 1405T",NA,3335
"Qualcomm SM6150",NA,3333
"AMD FX-9830P",NA,3332
"MT6853V/NZA",NA,3330
"AMD Phenom II X6 1055T",34.3,3328
"AMD FX-4150 Quad-Core",NA,3327
"Intel Core i7-6560U @ 2.20GHz",NA,3326
"Snapdragon 850 @ 2.96 GHz",NA,3326
"AMD Athlon X4 840",124.95,3325
"AMD PRO A8-9600",119,3322
"Intel Core i7-880 @ 3.07GHz",69.99,3319
"Intel Celeron N5100 @ 1.10GHz",NA,3316
"Intel Core i3-6100E @ 2.70GHz",NA,3315
"Intel Core i3-4130 @ 3.40GHz",41,3314
"AMD FX-4350 Quad-Core",92.02,3314
"Intel Pentium Gold G5500T @ 3.20GHz",75,3311
"Intel Xeon X5570 @ 2.93GHz",100,3310
"AMD A8-9600",112.49,3308
"QTI SM6150",NA,3304
"AMD A10 PRO-7800B APU",NA,3302
"AMD Embedded R-Series RX-421BD",NA,3302
"Mediatek MT8786V/CT",NA,3300
"Intel Xeon L5609 @ 1.87GHz",NA,3298
"Intel Core i3-10110Y @ 1.00GHz",287,3297
"AMD Athlon Gold 3150C",NA,3292
"Intel Celeron 6600HE @ 2.60GHz",118,3286
"Intel Core i3-4360T @ 3.20GHz",NA,3286
"Qualcomm Technologies, Inc SDM720G",NA,3285
"AMD A10-7860K",52.87,3282
"Intel Xeon Platinum 8475B",NA,3280
"Intel Core i7-6500U @ 2.50GHz",393,3277
"Intel Xeon X3480 @ 3.07GHz",NA,3273
"Intel Xeon X3470 @ 2.93GHz",94.56,3269
"Intel Xeon W3570 @ 3.20GHz",469.95,3267
"Qualcomm Technologies, Inc SM7150",NA,3266
"ARM - 8 Core 1800 MHz",NA,3258
"Intel Core i3-6167U @ 2.70GHz",NA,3255
"Intel Pentium Silver J5040 @ 2.00GHz",NA,3254
"Intel Core i5-4400E @ 2.70GHz",266,3251
"Intel Core i3-4570T @ 2.90GHz",NA,3244
"Intel Pentium D1508 @ 2.20GHz",129,3240
"MT6833GP",NA,3238
"BCM2712",NA,3236
"Qualcomm SDM670",NA,3235
"Intel Core i5-4330M @ 2.80GHz",274.99,3232
"Mediatek MT6768G",NA,3232
"Intel Core i5-6300U @ 2.40GHz",NA,3231
"MT8667",NA,3230
"Qualcomm Technologies, Inc TRINKET-IOT",NA,3230
"AMD A10-9700E",89.09,3229
"AMD A10-8750",NA,3228
"Intel Xeon W3550 @ 3.07GHz",49.95,3227
"AMD FX-870K Quad Core",NA,3227
"ZHAOXIN KaiXian KX-U6580@2.5GHz",NA,3227
"Intel Core i5-4570T @ 2.90GHz",70,3224
"Intel Core i5-2405S @ 2.50GHz",216.18,3224
"Intel Core i7-2715QE @ 2.10GHz",NA,3221
"Intel Core i7-4610M @ 3.00GHz",NA,3220
"Intel Core i3-4170T @ 3.20GHz",199.95,3218
"AMD A8-7600 APU",29.99,3218
"Intel Core i7-950 @ 3.07GHz",100,3215
"Intel Core i5-6260U @ 1.80GHz",499,3213
"AMD PRO A8-8650B",NA,3211
"AMD A10-7800 APU",29.99,3206
"AMD A10-7700K APU",128.02,3203
"AMD Phenom II X6 1045T",47.99,3200
"Intel Atom x6427FE @ 1.90GHz",83,3196
"AMD A10-6800K APU",47.28,3193
"AMD A8-7670K",221,3192
"Intel Core i7-4600M @ 2.90GHz",NA,3188
"QTI SM611",NA,3180
"AMD PRO A12-9800E",169,3175
"Intel Pentium Gold G5400T @ 3.10GHz",59.95,3173
"Intel Atom C1110",NA,3170
"Samsung ""Exynos 9610""",NA,3168
"Qualcomm Technologies, Inc SDMMAGPIE",NA,3159
"Intel Xeon Gold 6262V @ 1.90GHz",3321,3155
"Mediatek MT8786V/N",NA,3153
"AMD Ryzen 3 3250C",NA,3153
"Intel Core i5-2400S @ 2.50GHz",59.99,3153
"Unisoc T616",NA,3152
"Intel Core i3-6100TE @ 2.70GHz",NA,3152
"AMD FX-4320",NA,3150
"MediaTek MT8188",NA,3144
"Samsung Exynos 8895",NA,3142
"Intel Core i3-4350T @ 3.10GHz",NA,3142
"AMD Athlon Silver 7120U",NA,3142
"MT8786V/CA",NA,3137
"Intel Core i7-870 @ 2.93GHz",39.99,3136
"Qualcomm Technologies, Inc BENGALP-IOT",NA,3127
"Intel Xeon X5560 @ 2.80GHz",100,3124
"AMD A8-7650K",37.99,3123
"AMD FX-4200 Quad-Core",59.95,3119
"ARM Cortex-A76 4 Core 1800 MHz",NA,3117
"Intel Core i3-4330T @ 3.00GHz",NA,3115
"Intel Core i5-6198DU @ 2.30GHz",NA,3115
"Intel Core i3-4160T @ 3.10GHz",59.99,3111
"Intel Core i5-5287U @ 2.90GHz",NA,3109
"Intel Xeon W3540 @ 2.93GHz",149,3109
"Qualcomm SM6115",NA,3107
"AMD A10-6800B APU",128.02,3106
"Intel Core i7-4578U @ 3.00GHz",NA,3104
"AMD A10-6700 APU",108.02,3104
"Intel Pentium Silver J5005 @ 1.50GHz",521.99,3102
"Intel Core i5-6360U @ 2.00GHz",NA,3100
"Intel Core i7-875K @ 2.93GHz",200,3100
"AMD FX-4330",733.5,3098
"Intel Core i5-4310M @ 2.70GHz",NA,3098
"Intel Core i5-4200H @ 2.80GHz",NA,3095
"Intel Core i7-5557U @ 3.10GHz",605.99,3090
"Qualcomm Technologies, Inc SM4350",NA,3087
"MediaTek MT6779V/CE",NA,3087
"AMD A10-6790K APU",42,3081
"MT6771V/CL",NA,3079
"Intel Core i5-4210H @ 2.90GHz",NA,3074
"Intel Core i5-4570TE @ 2.70GHz",341.99,3074
"vendor Kirin970",NA,3069
"Intel Xeon W3530 @ 2.80GHz",338.14,3068
"Intel Core i3-9100HL @ 1.60GHz",225,3065
"Intel Pentium G4600T @ 3.00GHz",117.99,3062
"Intel Core i5-24050S @ 2.50GHz",NA,3061
"AMD Opteron 2435",10.95,3061
"Mediatek MT6769",NA,3058
"Spreadtrum T612",NA,3051
"Intel Pentium Silver N6000 @ 1.10GHz",NA,3045
"AMD Opteron X3418 APU",NA,3043
"Intel Core i3-6100H @ 2.70GHz",NA,3041
"AMD PRO A10-8770E",NA,3036
"Intel Core i7-5600U @ 2.60GHz",NA,3035
"AMD FX-4170 Quad-Core",22.95,3034
"AMD A10-5800B APU",44.99,3034
"Intel Xeon X5550 @ 2.67GHz",98,3027
"AMD Embedded R-Series RX-421ND",NA,3024
"AMD PRO A12-8870E",NA,3023
"Intel Core i3-7130U @ 2.70GHz",459.99,3022
"Intel Xeon L5630 @ 2.13GHz",112.26,3018
"Intel Pentium GOLD 6500Y @ 1.10GHz",NA,3016
"ARM Cortex-A78 4 Core 2000 MHz",NA,3016
"ARM Cortex-A55 8 Core 1800 MHz",NA,3013
"Intel Core i7-5650U @ 2.20GHz",NA,3010
"AMD A8-6600K APU",88.02,3007
"SMDK4x12",NA,3006
"Intel Core i5-3470T @ 2.90GHz",269.95,3001
"AMD Phenom II X6 1035T",108,3000
"Intel Core i7-860 @ 2.80GHz",48,2997
"AMD A8-8650",NA,2996
"Intel Core i5-6200U @ 2.30GHz",NA,2995
"AMD Athlon Silver 3050U",NA,2993
"MT8786V/N",NA,2992
"Intel Atom x6425RE @ 1.90GHz",59,2990
"AMD PRO A8-8670E",NA,2989
"AMD Opteron 4174 HE",NA,2986
"AMD FX-4300 Quad-Core",15.98,2985
"AMD PRO A10-9700E",139,2985
"Intel Core i7-4558U @ 2.80GHz",NA,2985
"Intel Pentium G4560T @ 2.90GHz",79.98,2980
"AMD A12-9730P",NA,2980
"AMD FX-670K Quad-Core",NA,2980
"Intel Core i7-3540M @ 3.00GHz",108.02,2979
"Intel Xeon E5-2637 @ 3.00GHz",79,2978
"AMD FX-770K Quad-Core",NA,2978
"ARM Cortex-A76 8 Core 1800 MHz",NA,2975
"Intel Xeon X3460 @ 2.80GHz",73.04,2972
"AMD Athlon X4 760K Quad Core",12.99,2971
"Intel Core i5-4300M @ 2.60GHz",469,2967
"Intel Core i7-930 @ 2.80GHz",15.88,2962
"AMD A10-5800K APU",20.86,2961
"AMD A8 PRO-7600B APU",NA,2960
"Intel Celeron J4125 @ 2.00GHz",NA,2957
"Spreadtrum T616",NA,2956
"AMD Ryzen Embedded R1305G",NA,2953
"Intel Core i7-4560U @ 1.60GHz",NA,2950
"Spreadtrum T618",NA,2949
"Intel Core i7-940 @ 2.93GHz",348,2947
"Snapdragon 850 @ 2.40 GHz",NA,2946
"Hisilicon Kirin810",NA,2945
"Intel Core i5-4308U @ 2.80GHz",NA,2941
"AMD Athlon Silver 3050e",NA,2939
"Hisilicon Kirin 955",NA,2936
"AMD Opteron 2431",24.99,2936
"AMD PRO A10-8750B",NA,2935
"Intel Xeon W3520 @ 2.67GHz",59,2935
"Qualcomm Technologies, Inc SM6150",NA,2934
"AMD Opteron 6128 HE",NA,2932
"Intel Core i5-2500T @ 2.30GHz",89.99,2929
"Rockchip RK3399",NA,2925
"Unisoc ums9230H",NA,2924
"Qualcomm SM6125",NA,2916
"Intel Core i5-3380M @ 2.90GHz",NA,2916
"Intel Xeon X5492 @ 3.40GHz",1391.29,2912
"Intel Xeon X5470 @ 3.33GHz",179.95,2910
"AMD A10-9630P",NA,2909
"HiSilicon Kirin 970",NA,2908
"Intel N50",NA,2907
"Intel Celeron J4105 @ 1.50GHz",107,2907
"AMD Athlon X4 830",202.32,2901
"Unisoc ums9230T",NA,2897
"AMD A8-6500B APU",49.95,2894
"QTI SM6115",NA,2888
"Intel Core i3-4130T @ 2.90GHz",19.99,2885
"Intel Core i5-4210M @ 2.60GHz",88.04,2883
"AMD Athlon Silver 3050C",NA,2879
"Intel Core i5-3360M @ 2.80GHz",78.02,2873
"Intel Xeon E5-2403 v2 @ 1.80GHz",541,2873
"Intel Core i3-10100Y @ 1.30GHz",NA,2873
"AMD Opteron 4184",18.99,2872
"Intel Core i7-3520M @ 2.90GHz",122.02,2868
"Mediatek MT6768",NA,2865
"Intel Core i3-4150T @ 3.00GHz",417.42,2864
"Intel Core i7-5550U @ 2.00GHz",NA,2864
"Intel Core m3-8100Y @ 1.10GHz",281,2863
"AMD Athlon X4 750K Quad Core",190.44,2861
"Intel Xeon E5-2609 @ 2.40GHz",61,2858
"AMD A8-5600K APU",69.01,2857
"AMD FX-7600P APU",NA,2856
"Qualcomm Technologies, Inc SDA660",NA,2853
"Intel Xeon X3450 @ 2.67GHz",39,2853
"AMD FX-8800P",NA,2851
"Intel Core i7-920 @ 2.67GHz",90,2839
"AMD Phenom II X4 980",130,2839
"MT6768G",NA,2838
"Qualcomm SDM450",NA,2836
"Qualcomm Technologies, Inc MSM8998",NA,2830
"QTI SM6125",NA,2826
"AMD Opteron 6128",229.95,2826
"T606",NA,2824
"AMD A8-6500 APU",27.8,2823
"Intel Core i5-4278U @ 2.60GHz",NA,2822
"vendor Kirin710",NA,2822
"HiSilicon Kirin 960",NA,2813
"Intel Core i5-5257U @ 2.70GHz",NA,2813
"Unisoc T610",NA,2812
"Intel Core i5-4200M @ 2.50GHz",88.95,2804
"Intel Pentium G4500 @ 3.50GHz",96.9,2793
"AMD RX-427BB",NA,2789
"Intel Atom C2750 @ 2.40GHz",232,2787
"Intel Celeron G5925 @ 3.60GHz",90.04,2787
"Intel Celeron G5905 @ 3.50GHz",39.75,2785
"Intel Core i7-5500U @ 2.40GHz",NA,2784
"Intel Xeon E5540 @ 2.53GHz",88.93,2783
"T610S-Unisoc",NA,2781
"Intel Core2 Extreme X9775 @ 3.20GHz",1805.95,2780
"Spreadtrum T606",NA,2779
"MediaTek G88 (MT6769H)",NA,2778
"Qualcomm Technologies, Inc QCM6125",NA,2775
"Intel Xeon X3440 @ 2.53GHz",43,2773
"T618",NA,2772
"Intel Core i3-6157U @ 2.40GHz",NA,2770
"Intel Core i7-870S @ 2.67GHz",NA,2765
"Intel Core i5-8210Y @ 1.60GHz",NA,2758
"MT8788",NA,2756
"Intel Xeon X5482 @ 3.20GHz",99.95,2755
"Intel Core 860 @ 2.80GHz",288.2,2754
"MediaTek G85 (MT6769Z)",NA,2751
"Spreadtrum T610",NA,2747
"AMD A10-5700 APU",68.02,2741
"AMD Phenom II X4 970",42.89,2739
"Intel Core i5-5300U @ 2.30GHz",289.99,2736
"Intel Xeon E5-2603 v2 @ 1.80GHz",39.2,2735
"Intel Core m3-7Y32 @ 1.10GHz",NA,2733
"Intel Core i3-7100U @ 2.40GHz",462,2723
"ARM Phytium,FT-2000/4 8 Core 2300 MHz",NA,2720
"Intel Core i7-4600U @ 2.10GHz",NA,2717
"AMD A6-9400",NA,2717
"MediaTek MT6769V/CU",NA,2715
"Intel Celeron G4950 @ 3.30GHz",63.12,2714
"MediaTek MT6779V/CV",NA,2712
"AMD 3015e",NA,2712
"Intel Pentium G4520 @ 3.60GHz",285,2707
"Qualcomm Technologies, Inc SDM710",NA,2701
"AMD Opteron 3350 HE",358,2699
"Intel Core i5-3340M @ 2.70GHz",105,2698
"Qualcomm Technologies, Inc SM6225",NA,2692
"AMD FX-4130 Quad-Core",52.02,2692
"AMD PRO A12-9800B",NA,2691
"AMD Phenom II X4 B65",NA,2690
"Intel Xeon E5530 @ 2.40GHz",29.99,2690
"ARM Phytium,D2000/8 8 Core 2300 MHz",NA,2690
"Intel Core2 Extreme X9770 @ 3.20GHz",1608.95,2689
"Intel Celeron J4115 @ 1.80GHz",NA,2687
"Intel Xeon E5607 @ 2.27GHz",27.99,2686
"Intel Core i5-4402E @ 1.60GHz",NA,2681
"MediaTek MT6771V/C",NA,2681
"Hisilicon Kirin970",NA,2681
"Intel Core i3-4110M @ 2.60GHz",NA,2678
"ARM D2000/8 8 Core 2300 MHz",NA,2674
"Unisoc T606",NA,2672
"Intel Core i5-3610ME @ 2.70GHz",NA,2666
"QTI SDM845",NA,2666
"Intel Core i5-3320M @ 2.60GHz",44.04,2660
"MediaTek MT6771V/CT",NA,2659
"Intel Xeon E5-2407 @ 2.20GHz",12.99,2658
"AMD A12-9720P",NA,2656
"Intel Core i3-3250T @ 3.00GHz",NA,2650
"MediaTek MT6779V/CU",NA,2648
"AMD RX-425BB",NA,2648
"Intel Core i5-680 @ 3.60GHz",310.17,2647
"Intel Core i5-7Y54 @ 1.20GHz",NA,2645
"Intel Core i7-3687U @ 2.10GHz",NA,2645
"Intel Core i7-7Y75 @ 1.30GHz",NA,2644
"Unisoc T700",NA,2644
"Intel Celeron G5900 @ 3.40GHz",31.9,2643
"Intel Core i5-4258U @ 2.40GHz",NA,2638
"AMD Phenom II X4 965",50,2637
"Intel Core i5-4288U @ 2.60GHz",NA,2637
"Intel Core i3-6100U @ 2.30GHz",529.99,2634
"Intel Core i5-760 @ 2.80GHz",89.99,2633
"Unisoc T612",NA,2632
"ARM Cortex-A78AE 6 Core 1510 MHz",NA,2631
"AMD Phenom II X4 B60",NA,2627
"AMD Athlon X4 740 Quad Core",10,2626
"AMD Athlon X4 750 Quad Core",94.75,2625
"Qualcomm Technologies, Inc BENGALP",NA,2624
"AMD Athlon PRO 3045B",NA,2618
"Intel Pentium Silver N5000 @ 1.10GHz",161,2616
"AMD FX-4100 Quad-Core",18.99,2616
"AMD Opteron 6172",189.95,2615
"ARM Cortex-A76 4 Core 3100 MHz",NA,2610
"AMD A8-5500B APU",49.04,2609
"Unisoc ums512",NA,2607
"AMD A8-5500 APU",58.95,2606
"QTI SDM660",NA,2604
"AMD Athlon II X4 559",NA,2602
"Unisoc UIS7862S",NA,2601
"Intel Core i3-7102E @ 2.10GHz",225,2599
"Intel Core i3-5157U @ 2.50GHz",NA,2593
"Intel Core i5-7Y57 @ 1.20GHz",NA,2592
"Intel Core i7-4510U @ 2.00GHz",NA,2591
"Intel Celeron G4930 @ 3.20GHz",49,2591
"Samsung Exynos 8890",NA,2587
"Qualcomm SM4250",NA,2587
"Qualcomm Technologies, Inc SDM712",NA,2587
"Intel Pentium Silver N5030 @ 1.10GHz",NA,2586
"Intel Core m3-7Y30 @ 1.00GHz",NA,2585
"AMD FX-7600P",NA,2582
"Samsung Exynos 9611",NA,2582
"Intel Core i3-7020U @ 2.30GHz",281,2582
"ARM Cortex-A76 4 Core 3400 MHz",NA,2580
"AMD PRO A12-8800B",NA,2580
"Intel Xeon E5450 @ 3.00GHz",36.99,2580
"ARM Cortex-A76 4 Core 3200 MHz",NA,2579
"Intel Pentium G4400 @ 3.30GHz",75.9,2579
"Intel Celeron G5920 @ 3.50GHz",79.99,2577
"Intel Core i5-5350U @ 1.80GHz",NA,2574
"Intel Xeon X5460 @ 3.16GHz",219.55,2572
"Intel Xeon X3380 @ 3.16GHz",509.95,2568
"AMD Athlon II X4 557",NA,2567
"Unisoc T618",NA,2563
"Intel Core i5-3230M @ 2.60GHz",99.99,2563
"MediaTek MT6769T",NA,2560
"UIS7862A",NA,2557
"MediaTek MT8183",NA,2552
"Qualcomm Technologies, Inc SDM670",NA,2551
"ARM ARMv8 rev 1 (v8l) 6 Core 1510 MHz",NA,2550
"ARM Cortex-A76 4 Core 3000 MHz",NA,2547
"T610-Unisoc",NA,2546
"AMD PRO A10-9700B",NA,2545
"AMD FX-9800P",NA,2543
"AMD PRO A12-8830B",NA,2543
"AMD Phenom II X4 B97",79.95,2539
"AMD Phenom II X4 B99",NA,2536
"AMD Phenom II X4 975",69.95,2536
"AMD A10-9620P",NA,2535
"Intel Core i5-670 @ 3.47GHz",292.82,2533
"Intel Core i5-750 @ 2.67GHz",60,2531
"ARM Kryo-4XX-Gold 8 Core 1804 MHz",NA,2531
"Intel Pentium N6415 @ 1.20GHz",80,2530
"AMD Phenom II X4 B55",NA,2526
"AMD Athlon II X4 555",NA,2526
"Intel Xeon E5520 @ 2.27GHz",38.57,2524
"Intel Xeon L5530 @ 2.40GHz",62,2522
"Intel Core i5-4310U @ 2.00GHz",NA,2521
"Intel Core i3-4100M @ 2.50GHz",218.57,2519
"Apple A9X",NA,2517
"Mediatek MT6769V/CT",NA,2517
"AMD Phenom II X4 955",59.01,2515
"QTI QCM4290",NA,2512
"AMD Athlon II X4 651 Quad-Core",149.95,2500
"Intel Celeron G4920 @ 3.20GHz",89.9,2500
"ARM Phytium,D2000/8 E8C 8 Core 2300 MHz",NA,2500
"samsung exynos7885",NA,2498
"Intel Core i5-5200U @ 2.20GHz",281,2497
"Intel Core i5-4300U @ 1.90GHz",NA,2496
"Intel Xeon L7455 @ 2.13GHz",NA,2494
"Intel Core i5-2390T @ 2.70GHz",99.9,2493
"ARM Cortex-A76 4 Core 3300 MHz",NA,2493
"Intel Core i7-4500U @ 1.80GHz",NA,2485
"Intel Celeron N4120 @ 1.10GHz",NA,2480
"AMD Opteron 8439 SE",3647.35,2479
"MT6769V/CT",NA,2477
"Intel Core i7-8500Y @ 1.50GHz",393,2474
"Intel Core2 Quad Q9650 @ 3.00GHz",54.44,2473
"Intel Celeron 7305",107,2470
"Intel Core i5-661 @ 3.33GHz",80,2470
"Intel Xeon L3426 @ 1.87GHz",199.99,2470
"Intel Core i7-2640M @ 2.80GHz",78.09,2467
"ARM Cortex-A76 4 Core 2900 MHz",NA,2465
"Intel Xeon X3370 @ 3.00GHz",40,2465
"Intel Core i5-3210M @ 2.50GHz",52.02,2465
"Intel Core i7-4650U @ 1.70GHz",NA,2461
"ARM Cortex-A76 4 Core 2800 MHz",NA,2460
"Intel Xeon D-1602 @ 2.50GHz",106,2459
"HiSilicon Kirin 950",NA,2457
"Intel Celeron N4100 @ 1.10GHz",107,2457
"Qualcomm Technologies, Inc TRINKET",NA,2454
"Samsung A04S EUR OPEN REV03C board based on EXYNOS",NA,2452
"MediaTek MT6771V/W",NA,2451
"Intel Core i7-4610Y @ 1.70GHz",NA,2446
"Qualcomm Technologies, Inc BENGAL",NA,2445
"Qualcomm SDM660",NA,2444
"Intel Core i3-3250 @ 3.50GHz",48,2442
"AMD 3020e",NA,2439
"Intel Core i5-5250U @ 1.60GHz",529.99,2438
"Hisilicon Kirin710",NA,2438
"MediaTek MT6769V/CB",NA,2436
"Qualcomm Technologies, Inc SDM660",NA,2433
"Snapdragon 662",NA,2431
"Intel Atom C3558 @ 2.20GHz",86,2431
